,Year,Model,Cluster,Features
195,2008,NMF,5.0,game games wii play xbox gaming nintendo ea gamers online
196,2008,LDA,0.0,google microsoft yahoo percent search year company said ads million
197,2008,LDA,1.0,site users facebook social like twitter service web sites new
198,2008,LDA,2.0,mobile iphone app applications phone application apps developers apple platform
199,2008,LDA,3.0,game games music video sony play new xbox world gaming
200,2008,LDA,4.0,like apple ll time don new people good going know
201,2008,LDA,5.0,company million companies round funding venture based capital new raised
202,2008,NMF,0.0,like ll don new know video little time good really
203,2008,NMF,1.0,million company round funding raised capital ventures venture partners investors
204,2008,NMF,2.0,facebook site users social twitter service web sites myspace network
205,2008,NMF,3.0,iphone apple app store ipod apps touch itunes device application
206,2008,NMF,4.0,google yahoo search microsoft deal results percent advertising ads engine
207,2008,NMF,5.0,game games wii play xbox gaming nintendo ea gamers online
208,2008,NMF,6.0,mobile phone phones android nokia windows devices service handset cell
209,2008,LDA,0.0,google microsoft yahoo search people time like said company going
210,2008,LDA,1.0,site users social twitter facebook like service sites web new
211,2008,LDA,2.0,mobile iphone applications app application facebook platform developers apps web
212,2008,LDA,3.0,game games music sony play xbox video world gaming virtual
213,2008,LDA,4.0,like apple ll new time don good video iphone know
214,2008,LDA,5.0,company million companies round funding venture based capital new raised
215,2008,LDA,6.0,percent phone year mobile market price new said intel chip
216,2008,NMF,0.0,like ll don know little time good new people really
217,2008,NMF,1.0,million company round funding raised capital ventures venture partners investors
218,2008,NMF,2.0,facebook users site social twitter service myspace web sites network
219,2008,NMF,3.0,iphone apple app store ipod apps itunes touch device application
220,2008,NMF,4.0,google yahoo search microsoft deal results percent advertising ads engine
221,2008,NMF,5.0,game games wii play xbox gaming nintendo ea gamers console
222,2008,NMF,6.0,mobile phone phones android nokia devices windows service handset cell
223,2008,NMF,7.0,video tv videos youtube http content com watch media music
224,2008,LDA,0.0,google search microsoft yahoo ads ad advertising percent company year
225,2008,LDA,1.0,users site facebook social twitter like service web sites new
226,2008,LDA,2.0,mobile phone applications platform software developers web application phones android
227,2008,LDA,3.0,game games sony xbox play gaming new wii camera video
228,2008,LDA,4.0,like people time don ll good think know make going
229,2008,LDA,5.0,company million companies round funding based raised video capital partners
230,2008,LDA,6.0,year million percent company market billion energy said price solar
231,2008,LDA,7.0,iphone apple music app new store video itunes ipod device
232,2008,NMF,0.0,like ll don know little good time new really think
233,2008,NMF,1.0,million company round funding raised capital ventures venture partners investors
234,2008,NMF,2.0,site twitter users service web sites social people music new
235,2008,NMF,3.0,iphone apple app store ipod apps itunes touch device application
236,2008,NMF,4.0,google yahoo microsoft search deal results percent advertising ads engine
237,2008,NMF,5.0,game games wii play xbox gaming nintendo ea gamers online
238,2008,NMF,6.0,mobile phone phones android nokia devices windows service handset cell
239,2008,NMF,7.0,video tv videos youtube http content com watch swf live
240,2008,NMF,8.0,facebook social myspace users applications friends application developers platform apps
241,2008,LDA,0.0,microsoft yahoo year percent said google time people market new
242,2008,LDA,1.0,like don people make time good ll think really know
243,2008,LDA,2.0,mobile facebook applications phone developers platform application phones android open
244,2008,LDA,3.0,game games sony new play camera wii xbox gaming nintendo
245,2008,LDA,4.0,video tv com windows movie http watch flash live player
246,2008,LDA,5.0,company online business companies media web ad ads content video
247,2008,LDA,6.0,million company round venture funding capital raised companies investors partners
248,2008,LDA,7.0,iphone apple music app store new device touch ipod itunes
249,2008,LDA,8.0,site users google social search twitter like web service facebook
250,2008,NMF,0.0,like ll don know time new good little people really
251,2008,NMF,1.0,million company round funding raised capital ventures venture partners investors
252,2008,NMF,2.0,google search results engine ads data web android gmail page
253,2008,NMF,3.0,iphone apple app store ipod apps touch itunes device application
254,2008,NMF,4.0,yahoo microsoft deal search board share windows offer stock live
255,2008,NMF,5.0,game games wii play gaming xbox nintendo ea gamers console
256,2008,NMF,6.0,mobile phone phones android nokia windows service devices handset cell
257,2008,NMF,7.0,video tv videos youtube http content com watch media live
258,2008,NMF,8.0,facebook users social site myspace network sites web friends application
259,2008,NMF,9.0,twitter service friendfeed messages users account message messaging services people
260,2008,LDA,0.0,like time people going make said think don years good
